"Phase","FilePath","SHA256","SizeBytes","LastWriteUtc","Exists"
"B0","F:\BROS_SYSTEM\bootstrap\B0\BROS_IMPORT_MANIFEST.csv","f98b2023d8ffc5a665dac4ac0422031dc6d0ba1bdefe52f03eeef46c86eb91e1","15441","2026-04-20T18:04:14Z","True"
"B0","F:\BROS_SYSTEM\bootstrap\B0\BROS_CLAIM_EVIDENCE_LEDGER.md","ed18b3bb1fad306ecff8d9831fd742a8bc9da5b701912dce05c12846fee0ef7e","3363","2026-04-20T18:04:49Z","True"
"B0","F:\BROS_SYSTEM\bootstrap\B0\BROS_BLOCKER_REGISTER.md","45c3f50c7cb81a2e6f6cf4ad8c239612dc3962e47b0ff2552a6d3c420131f957","68","2026-04-20T18:04:49Z","True"
"B1","F:\BROS_SYSTEM\bootstrap\B1\B1_IMPORT_MANIFEST.csv","3d966527bb5c192a5b5794c965a7fe299c49a5755f7993f2d35fa21d1b78395d","1695","2026-04-21T17:27:14Z","True"
"B1","F:\BROS_SYSTEM\bootstrap\B1\B1_CLAIM_EVIDENCE_LEDGER.md","e5a527e38e67ed26c8884e2fc00d261dbe1144f9e58123a30c097cead9070e72","1146","2026-04-21T17:27:14Z","True"
"B1","F:\BROS_SYSTEM\bootstrap\B1\B1_BLOCKER_REGISTER.md","12980ed04cc77e755d1292606c74a4a32ee86be9ca92c5548339094699002c0c","70","2026-04-21T17:27:14Z","True"
"B2","F:\BROS_SYSTEM\bootstrap\B2\B2_ANCHOR_UPGRADE.csv","70cf7547176e05b8beebb38ec0e9490f14ede59cbd97171b95b12b9943cb229f","468","2026-04-21T17:51:41Z","True"
"B2","F:\BROS_SYSTEM\bootstrap\B2\B2_CLAIM_REVALIDATION.md","7f8417849563c3fe15f3ad168071e97e84aa9c56224ef9a77df6b02f281d9602","1333","2026-04-21T17:51:42Z","True"
"B2","F:\BROS_SYSTEM\bootstrap\B2\B2_BLOCKER_REGISTER.md","4a6abb01c39cdf197ca4553109130ea50e8a146a58e0f69560ee39ccf3f23427","71","2026-04-21T17:51:43Z","True"
"B3","F:\BROS_SYSTEM\bootstrap\B3\B3_PATH_GUARD_POLICY.md","fd6fa4842e818c88e9f43a153804da288f043b02b9273566e1dbcc39ca685688","927","2026-04-21T18:12:54Z","True"
"B3","F:\BROS_SYSTEM\bootstrap\B3\B3_BASELINE_HASH_MANIFEST.csv","311a92968413378a6af3ce347e8561b078b109795cd6e743136e121d890c64eb","1546","2026-04-21T18:12:54Z","True"
"B3","F:\BROS_SYSTEM\bootstrap\B3\B3_BLOCKER_REGISTER.md","4a6abb01c39cdf197ca4553109130ea50e8a146a58e0f69560ee39ccf3f23427","71","2026-04-21T18:12:54Z","True"
